lang,train_sentences,train_tokens,train_changed_tokens,train_changed_ratio,high_confidence_pairs,review_pairs,ambiguous_pairs,pattern_counts,mode,dev_tokens,dev_changed_tokens,dictionary_size,ERR,accuracy,TP,FP,FN,TN
tr,570,6443,2385,0.370169,115,1714,101,"{""other_substitution"": 1407, ""case_change"": 412, ""whitespace_change"": 188, ""empty_norm_alignment"": 109, ""expansion_or_abbreviation_restore"": 105, ""repeated_char_reduction"": 73, ""punctuation_change"": 64, ""shortening_or_deletion"": 24, ""digit_related_change"": 3}",balanced,674,257,110,0.097276,0.656805,27,2,230,417
tr,570,6443,2385,0.370169,115,1714,101,"{""other_substitution"": 1407, ""case_change"": 412, ""whitespace_change"": 188, ""empty_norm_alignment"": 109, ""expansion_or_abbreviation_restore"": 105, ""repeated_char_reduction"": 73, ""punctuation_change"": 64, ""shortening_or_deletion"": 24, ""digit_related_change"": 3}",conservative,674,257,105,0.105058,0.658754,27,0,230,417
trde,800,12773,3083,0.241369,173,1988,118,"{""other_substitution"": 1348, ""case_change"": 928, ""whitespace_change"": 312, ""expansion_or_abbreviation_restore"": 187, ""empty_norm_alignment"": 103, ""punctuation_change"": 84, ""shortening_or_deletion"": 73, ""repeated_char_reduction"": 44, ""digit_related_change"": 4}",balanced,1329,321,151,0.146417,0.793985,48,1,273,1008
trde,800,12773,3083,0.241369,173,1988,118,"{""other_substitution"": 1348, ""case_change"": 928, ""whitespace_change"": 312, ""expansion_or_abbreviation_restore"": 187, ""empty_norm_alignment"": 103, ""punctuation_change"": 84, ""shortening_or_deletion"": 73, ""repeated_char_reduction"": 44, ""digit_related_change"": 4}",conservative,1329,321,141,0.130841,0.790226,43,1,278,1008
